Name,ChEMBL_ID,SMILES
PRAZOSIN,CHEMBL2,COc1cc2nc(nc(N)c2cc1OC)N3CCN(CC3)C(=O)c4occc4
NICOTINE,CHEMBL3,CN1CCC[C@H]1c2cccnc2
OFLOXACIN,CHEMBL4,CC1COc2c(N3CCN(C)CC3)c(F)cc4C(=O)C(=CN1c24)C(=O)O
NALIDIXIC ACID,CHEMBL5,CCN1C=C(C(=O)O)C(=O)c2ccc(C)nc12
INDOMETHACIN,CHEMBL6,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c3ccc(Cl)cc3
SULBACTAM,CHEMBL403,CC1(C)[C@@H](N2[C@@H](CC2=O)S1(=O)=O)C(=O)O
TAZOBACTAM,CHEMBL404,C[C@]1(Cn2ccnn2)[C@@H](N3[C@@H](CC3=O)S1(=O)=O)C(=O)O
CIPROFLOXACIN,CHEMBL8,OC(=O)C1=CN(C2CC2)c3cc(N4CCNCC4)c(F)cc3C1=O
NORFLOXACIN,CHEMBL9,CCN1C=C(C(=O)O)C(=O)c2cc(F)c(cc12)N3CCNCC3
AMPHETAMINE,CHEMBL405,CC(N)Cc1ccccc1
ISOSORBIDE DINITRATE,CHEMBL6622,[O-][N+](=O)O[C@H]1CO[C@@H]2[C@@H](CO[C@H]12)O[N+](=O)[O-]
MIANSERIN,CHEMBL6437,CN1CCN2C(C1)c3ccccc3Cc4ccccc24
IMIPRAMINE,CHEMBL11,CN(C)CCCN1c2ccccc2CCc3ccccc13
INDAPAMIDE,CHEMBL406,CC1Cc2ccccc2N1NC(=O)c3ccc(Cl)c(c3)S(=O)(=O)N
FLUMAZENIL,CHEMBL407,CCOC(=O)c1ncn2c1CN(C)C(=O)c3cc(F)ccc23
TROGLITAZONE,CHEMBL408,Cc1c(C)c2OC(C)(COc3ccc(CC4SC(=O)NC4=O)cc3)CCc2c(C)c1O
BICALUTAMIDE,CHEMBL409,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc2ccc(C#N)c(c2)C(F)(F)F
DIAZEPAM,CHEMBL12,CN1C(=O)CN=C(c2ccccc2)c3cc(Cl)ccc13
METOPROLOL,CHEMBL13,COCCc1ccc(OCC(O)CNC(C)C)cc1
DIETHYLSTILBESTROL,CHEMBL411,CC\C(=C(\CC)/c1ccc(O)cc1)\c2ccc(O)cc2
MECAMYLAMINE,CHEMBL267936,CNC1(C)C2CCC(C2)C1(C)C
CARBACHOL,CHEMBL14,[Cl-].C[N+](C)(C)CCOC(=O)N
PHENYTOIN,CHEMBL16,OC1=NC(=O)C(N1)(c2ccccc2)c3ccccc3
SIROLIMUS,CHEMBL413,CO[C@@H]1C[C@H](C[C@@H](C)[C@@H]2CC(=O)[C@H](C)\C=C(/C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(/C)\[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N4CCCC[C@H]4C(=O)O2)OC)CC[C@H]1O
TACROLIMUS,CHEMBL269732,CO[C@@H]1C[C@@H](CC[C@H]1O)\C=C(/C)\[C@H]2OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@]4(O)O[C@H]([C@H](C[C@@H](C)C\C(=C\[C@@H](CC=C)C(=O)C[C@H](O)[C@H]2C)\C)OC)[C@H](C[C@H]4C)OC
CLOMIPRAMINE,CHEMBL415,CN(C)CCCN1c2ccccc2CCc3ccc(Cl)cc13
METHOXSALEN,CHEMBL416,COc1c2OC(=O)C=Cc2cc3ccoc13
DICHLORPHENAMIDE,CHEMBL17,NS(=O)(=O)c1cc(Cl)c(Cl)c(c1)S(=O)(=O)N
ETHOXZOLAMIDE,CHEMBL18,CCOc1ccc2nc(sc2c1)S(=O)(=O)N
EPIRUBICIN,CHEMBL417,COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)CO
METHAZOLAMIDE,CHEMBL19,CN1N=C(S/C/1=N/C(=O)C)S(=O)(=O)N
ACETAZOLAMIDE,CHEMBL20,CC(=O)Nc1nnc(s1)S(=O)(=O)N
MAFENIDE,CHEMBL419,NCc1ccc(cc1)S(=O)(=O)N
SULFANILAMIDE,CHEMBL21,Nc1ccc(cc1)S(=O)(=O)N
GUANABENZ,CHEMBL420,NC(=N)N\N=C\c1c(Cl)cccc1Cl
TRIMETHOPRIM,CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
VERAPAMIL,CHEMBL6966,COc1ccc(CCN(C)CCCC(C#N)(C(C)C)c2ccc(OC)c(OC)c2)cc1OC
SULFASALAZINE,CHEMBL421,OC(=O)c1cc(ccc1O)\N=N\c2ccc(cc2)S(=O)(=O)Nc3ccccn3
COUMARIN,CHEMBL6466,O=C1Oc2ccccc2C=C1
DILTIAZEM,CHEMBL23,COc1ccc(cc1)[C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(=O)C
ATENOLOL,CHEMBL24,CC(C)NCC(O)COc1ccc(CC(=O)N)cc1
ASPIRIN,CHEMBL25,CC(=O)Oc1ccccc1C(=O)O
TRIFLUOPERAZINE,CHEMBL422,CN1CCN(CCCN2c3ccccc3Sc4ccc(cc24)C(F)(F)F)CC1
SULPIRIDE,CHEMBL26,CCN1CCCC1CNC(=O)c2cc(ccc2OC)S(=O)(=O)N
BETAXOLOL,CHEMBL423,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1
SALICYLIC ACID,CHEMBL424,OC(=O)c1ccccc1O
OLSALAZINE,CHEMBL425,OC(=O)c1cc(ccc1O)\N=N\c2ccc(O)c(c2)C(=O)O
PROPRANOLOL,CHEMBL27,CC(C)NCC(O)COc1cccc2ccccc12
PRACTOLOL,CHEMBL6995,CC(C)NCC(O)COc1ccc(NC(=O)C)cc1
MECHLORETHAMINE,CHEMBL427,CN(CCCl)CCCl
BENZYLPENICILLIN,CHEMBL29,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O
TROVAFLOXACIN,CHEMBL428,N[C@@H]1[C@H]2CN(C[C@@H]12)c3nc4N(C=C(C(=O)O)C(=O)c4cc3F)c5ccc(F)cc5F
CIMETIDINE,CHEMBL30,CN\C(=N\CCSCc1nc[nH]c1C)\NC#N
GATIFLOXACIN,CHEMBL31,COc1c(N2CCNC(C)C2)c(F)cc3C(=O)C(=CN(C4CC4)c13)C(=O)O
LABETALOL,CHEMBL429,CC(CCc1ccccc1)NCC(O)c2ccc(O)c(c2)C(=O)N
MOXIFLOXACIN,CHEMBL32,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc4C(=O)C(=CN(C5CC5)c14)C(=O)O
LEVOFLOXACIN,CHEMBL33,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc4C(=O)C(=CN1c24)C(=O)O
GEMIFLOXACIN,CHEMBL430,CO\N=C\1/CN(CC1CN)c2nc3N(C=C(C(=O)O)C(=O)c3cc2F)C4CC4
SPIRAPRIL,CHEMBL431,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N2CC3(C[C@H]2C(=O)O)SCCS3
VALPROATE SODIUM,CHEMBL433,[Na+].CCCC(CCC)C(=O)[O-]
ISOPROTERENOL,CHEMBL434,CC(C)NCC(O)c1ccc(O)c(O)c1
HYDROCHLOROTHIAZIDE,CHEMBL435,NS(=O)(=O)c1cc2c(NCNS2(=O)=O)cc1Cl
FUROSEMIDE,CHEMBL35,NS(=O)(=O)c1cc(C(=O)O)c(NCc2occc2)cc1Cl
PYRIMETHAMINE,CHEMBL36,CCc1nc(N)nc(N)c1c2ccc(Cl)cc2
TOLRESTAT,CHEMBL436,COc1ccc2c(cccc2c1C(F)(F)F)C(=S)N(C)CC(=O)O
SULFATHIAZOLE,CHEMBL437,Nc1ccc(cc1)S(=O)(=O)Nc2nccs2
SULFAMERAZINE,CHEMBL438,Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1
SULFADIAZINE,CHEMBL439,Nc1ccc(cc1)S(=O)(=O)Nc2ncccn2
THIAMYLAL,CHEMBL440,CCCC(C)C1(CC=C)C(=O)NC(=NC1=O)S
THIOPENTAL,CHEMBL441,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O
CYCLOBARBITAL,CHEMBL268164,CCC1(C(=O)NC(=O)NC1=O)C2=CCCCC2
ERGOTAMINE,CHEMBL442,CN1C[C@@H](C=C2[C@H]1Cc3c[nH]c4cccc2c34)C(=O)N[C@]5(C)O[C@@]6(O)[C@@H]7CCCN7C(=O)[C@H](Cc8ccccc8)N6C5=O
TRETINOIN,CHEMBL38,C\C(=C/C=C/C(=C/C(=O)O)/C)\C=C\C1=C(C)CCCC1(C)C
METHOHEXITAL,CHEMBL7413,CCC#CC(C)C1(CC=C)C(=O)NC(=O)N(C)C1=O
PHENOBARBITAL,CHEMBL40,CCC1(C(=O)NC(=O)NC1=O)c2ccccc2
